country_id,country_name,status,join_date,exp_join_date,quondam_territory_of,capital,population,area,gdp,gdp_pps,internet_code,calling_code,currency_code,currency_name
DK,Denmark,M,1973-01-01 00:00:00.000000 UTC,,,Copenhagen,5400000,43100,220000000000,29700,dk,45,DKK,Danish Krone
LU,Luxembourg,M,1957-03-25 00:00:00.000000 UTC,,,Luxembourg,500000,2600,34000000000,65400,lu,352,EUR,Euro
IE,Ireland,M,1973-01-01 00:00:00.000000 UTC,,,Dublin,4200000,68400,175000000000,33500,ie,353,EUR,Euro
BE,Belgium,M,1957-03-25 00:00:00.000000 UTC,,,Brussels,10600000,30300,317000000000,28900,be,32,EUR,Euro
DE,Germany,M,1957-03-25 00:00:00.000000 UTC,,,Berlin,82400000,357000,2322000000000,26700,de,49,EUR,Euro
CZ,Czech Republic,M,2004-05-01 00:00:00.000000 UTC,,,Prague,10300000,77300,114000000000,18600,cz,420,CZK,Czech Koruna
EL,Greece,M,1981-01-01 00:00:00.000000 UTC,,,Athens,11100000,130700,214000000000,22700,gr,30,EUR,Euro
ES,Spain,M,1986-01-01 00:00:00.000000 UTC,,,Madrid,43800000,506000,981000000000,24000,es,34,EUR,Euro
IT,Italy,M,1957-03-25 00:00:00.000000 UTC,,,Rome,58800000,295100,1475000000000,24300,it,39,EUR,Euro
EE,Estonia,M,2004-05-01 00:00:00.000000 UTC,,,Tallinn,1300000,43400,13000000000,15900,22,372,EKK,Estonian Kroon
LT,Lithuania,M,2004-05-01 00:00:00.000000 UTC,,,Vilnius,3400000,62700,24000000000,13500,lt,370,LTL,Litas
FR,France,M,1957-03-25 00:00:00.000000 UTC,,,Paris,63000000,544000,1792000000000,26500,fr,33,EUR,Euro
CY,Cyprus,M,2004-05-01 00:00:00.000000 UTC,,,Nicosia,800000,9300,15000000000,21900,cy,357,EUR,Euro
BG,Bulgaria,M,2007-01-01 00:00:00.000000 UTC,,,Sofia,7700000,111000,25000000000,8700,bg,359,BGN,Bulgarian Lev
AT,Austria,M,1995-01-01 00:00:00.000000 UTC,,,Vienna,8300000,82500,258000000000,30200,at,43,EUR,Euro
PT,Portugal,M,1986-01-01 00:00:00.000000 UTC,,,Lisbon,10600000,91900,155000000000,17500,pt,351,EUR,Euro
LV,Latvia,M,2004-05-01 00:00:00.000000 UTC,,,Riga,2300000,62300,16000000000,13100,lv,371,LVL,Lats
RO,Romania,M,2007-01-01 00:00:00.000000 UTC,,,Bucharest,21600000,230000,97000000000,8800,ro,40,RON,Romanian Leu
PL,Poland,M,2004-05-01 00:00:00.000000 UTC,,,Warsaw,38100000,312700,272000000000,12400,pl,48,PLN,Zloty
NL,Netherlands,M,1957-03-25 00:00:00.000000 UTC,,,Amsterdam,16400000,33800,534000000000,31100,nl,31,EUR,Euro
SI,Slovenia,M,2004-05-01 00:00:00.000000 UTC,,,Ljubljana,2000000,20100,30000000000,20800,si,386,EUR,Euro
SE,Sweden,M,1995-01-01 00:00:00.000000 UTC,,,Stockholm,9100000,410300,306000000000,28200,se,46,SEK,Swedish Krona
MT,Malta,M,2004-05-01 00:00:00.000000 UTC,,,Valletta,400000,300,5000000000,17700,mt,356,EUR,Euro
HR,Croatia,C,,,,Zagreb,4400000,56500,34000000000,11700,hr,385,,
SK,Slovakia,M,2004-05-01 00:00:00.000000 UTC,,,Bratislava,5400000,49000,45000000000,14900,sk,421,SKK,Slovak Koruna
UK,United Kingdom,M,1973-01-01 00:00:00.000000 UTC,,,London,60800000,243800,1910000000000,27900,uk,44,GBP,Pound Sterling
MK,FYR of Macedonia,C,,,,Skopje,2000000,25000,5000000000,6500,mk,389,,
NO,Norway,O,,,,Oslo,4700000,385000,268000000000,44000,no,47,,
HU,Hungary,M,2004-05-01 00:00:00.000000 UTC,,,Budapest,10100000,93000,90000000000,15300,hu,36,HUF,Forint
TR,Turkey,C,,,,Ankara,73400000,780000,319000000000,6900,tr,90,,
IN,India,O,,,,New Delhi,1134000000,3300000,,,in,91,,
CN,China,O,,,,Beijing,1313000000,9600000,,,cn,86,,
US,USA,O,,,,Capital,300000000,9600000,10509000000000,,us,1,,
RU,Russian Federation,O,,,,Moscow,144000000,17100000,,,ru,7,,
FI,Finland,M,1995-01-01 00:00:00.000000 UTC,,,Helsinki,5300000,304500,167000000000,27300,fi,358,EUR,Euro
JP,Japan,O,,,,Tokyo,128000000,400000,3477000000000,,jp,81,,
CH,Switzerland,O,,,,Bern,7500000,41000,309000000,31900,ch,41,,
IS,Iceland,O,,,,Reykjavik,300000,103000,13000000000,,is,354,,
