mep_id,role_id,comm_id,delg_id
20198,110,,60
20201,110,,120
20214,110,,380
20190,110,,385
20219,110,,130
20212,110,,390
20157,110,,140
20238,110,,10
20266,110,,20
20235,110,,60
20275,110,,440
20231,110,,480
20049,110,,410
1,110,,460
20074,110,,210
20117,110,,280
20113,110,,160
40051,110,,430
20095,110,20,
20285,110,30,
20235,110,40,
40039,110,50,
20027,110,70,
40047,110,80,
40037,110,90,
40020,110,100,
20200,110,110,
20193,110,120,
20090,110,150,
20204,110,160,
40031,110,180,
20093,110,190,
20135,110,220,
20231,140,,260
20175,140,,330
20159,140,,100
20177,140,,385
20186,140,,440
20265,140,,30
20249,140,,30
20241,140,,40
20261,140,,50
20263,140,,70
20234,140,,430
20009,140,,440
20252,140,,480
20055,140,,310
20059,140,,330
20068,140,,100
20038,140,,160
20066,140,,180
20028,140,,440
20002,140,,210
20144,140,,280
20110,140,,40
20130,140,,50
20097,140,,90
20081,140,,380
20134,140,,130
20125,140,,150
20087,140,,440
20091,140,,230
20078,140,,240
40016,140,,120
40033,140,,140
40066,140,,150
40049,140,,440
40063,140,,240
20143,140,30,
20087,140,40,
20120,140,50,
40036,140,50,
20222,140,60,
20287,140,60,
20166,140,70,
20067,140,80,
20220,140,90,
20091,140,90,
20172,140,100,
20205,140,120,
20226,140,130,
20133,140,130,
20221,140,140,
20011,140,140,
20197,140,150,
20025,140,150,
20066,140,170,
20180,140,180,
20238,140,180,
20282,140,190,
20029,140,200,
20088,140,200,
20128,140,210,
20141,140,210,
20113,140,230,
40052,140,230,
20211,170,,260
20156,170,,260
20218,170,,10
20199,170,,20
20170,170,,280
20166,170,,280
20178,170,,30
20161,170,,30
20189,170,,40
20216,170,,50
20224,170,,310
20210,170,,310
20180,170,,310
20155,170,,310
20197,170,,310
20204,170,,310
20165,170,,60
20203,170,,60
20213,170,,70
20172,170,,330
20207,170,,80
20208,170,,90
20177,170,,90
20196,170,,90
20174,170,,100
20228,170,,110
20202,170,,110
20158,170,,370
20171,170,,370
20219,170,,120
20174,170,,120
20168,170,,380
20206,170,,385
20215,170,,385
20199,170,,385
20154,170,,130
20222,170,,390
20187,170,,140
20223,170,,410
20192,170,,160
20220,170,,170
20164,170,,170
20217,170,,180
20230,170,,180
20227,170,,180
20193,170,,180
20225,170,,440
20176,170,,440
20226,170,,440
20162,170,,440
20169,170,,440
20181,170,,440
20195,170,,440
20209,170,,200
20220,170,,200
20174,170,,460
20230,170,,460
20157,170,,460
20184,170,,460
20163,170,,210
20185,170,,210
20216,170,,220
20153,170,,220
20152,170,,220
20223,170,,480
20222,170,,480
20211,170,,480
20161,170,,480
20155,170,,480
20167,170,,480
20194,170,,480
20221,170,,230
20167,170,,230
20194,170,,240
20257,170,,10
20244,170,,10
20262,170,,280
20287,170,,280
20270,170,,30
20237,170,,30
20240,170,,30
20255,170,,50
20277,170,,310
20259,170,,60
20243,170,,60
20264,170,,70
